content,description,publishedAt,title,source_name,flood_disaster_relevance
"Image copyright EPA Image caption Locals have been warned to expect more heavy rainfall A cyclone that was predicted to wreak havoc across Queensland has been downgraded to a tropical low, after unleashing 17cm (6.6in) of rain in two hours across the north of the state. Authorities warn that Cyclone Owen could still reform offshore on Monday. Severe weather and flood warnings are in place. Owen hit land as a category 3 cyclone at around 03:00 on Saturday (17:00 Friday GMT), 70km (43 miles) from Kowanyama. ""We were right in the bullseye but then it dipped and went south,"" the town's Mayor Michael Yam said. ""There's no structural damage, a little debris, we're all good and in one piece."" The cyclone's 120km/h (74mph) winds weakened as it moved south-east. Queensland's Emergency Service received 400 calls for help over Friday night, according to local outlet News.com. Rescue services are warning that heavy rainfall and flash floods could still follow between now and Tuesday. ""Please do not be complacent, particularly in that northeast tropics area where the rains will continue,"" Queensland Fire and Emergency Services commissioner Katarina Carroll said. The weather system is expected to reach the North Queensland towns of Ingham and Innisfail by early Sunday. Meteorologists predict it will move back out over water before tracking down the state's east coast. Australia frequently experiences extreme weather, with flash floods, sandstorms and droughts in some areas. Last month, Queensland was hit by destructive bushfires which forced the evacuation of thousands of people.","Cyclone Owen has been downgraded to a tropical low, but storm and flood warnings remain in place.",2018-12-15T23:02:13Z,"Cyclone Owen downgraded, but could reform off Queensland",BBC News,0
"Image copyright Reuters Italy has been battered by fierce winds and rain which have left at least eight people dead across the country, while schools and tourist sites closed in several regions amid fears for peoples' safety. In the canal city of Venice, rising floodwaters have overwhelmed many of its famed squares and walkways, with officials saying as much as 75% of the city is now submerged. Venice's central St Mark's Square was closed on Monday afternoon, after the water level reached ""acqua alta"" (high water) of 156cm (5.1ft). It is the fourth highest level ever recorded. And yet, many people - tourist and locals alike - appeared determined to forge ahead with business as usual. Image copyright EPA Image copyright Reuters Some people took to the raised wooden walkways that are installed when there is flooding. Image copyright Getty Images Others, including tourists, donned thigh-high wellies or took off their shoes to wade through the water. Image copyright AFP Shopkeepers worked to try and keep the water away from their stock. Image copyright EPA With Venice, and the wider Veneto region, now on red alert, residents are being urged to prepare for major disruption to transport and infrastructure. Image copyright Getty Images Meteorologists are warning that the bad weather will continue. Image copyright Getty Images All pictures copyright",Images of Venice under flood waters as at least eight people are confirmed killed by the storms across Italy.,2018-10-30T09:46:20Z,Venice under water as Italy hit by fierce wind and heavy rain,BBC News,0
"Image copyrightADDY TRITT
Several Midwestern states are reeling from historic flooding which hit the area a few weeks ago.
Thousands of people have been evacuated, and vast swathes of farmland has been destroyed. 
For many in Iowa, Nebraska, Wisconsin, Minnesota and South Dakota the recovery effort has been slow and painful, as people return to their homes.
As images of submerged farms were broadcast across the country, many looked for ways to help.
Here are some of the acts of kindness to emerge in the wake of the devastation.
'Any shoes are better than wet shoes'
When Addy Tritt, 25, noticed her local discount shoe shop was closing down she decided to buy out their entire stock.
Ms Tritt then donated the 204 pairs of shoes, valued at $6,000 (£4,555), to families affected by the floods. 
""I wanted them to go to people who actually needed them,"" Ms Tritt told CBS News.
After spending two hours negotiating with the the shop's head office, Ms Tritt paid just $100 (£76) for the entire stock. 
Image copyrightAddy TrittImage caption
 Addy Tritt donated 204 pairs of shoes to Nebraska flood victims
Of Ms Tritt's haul, 162 pairs were baby shoes, two were men's shoes and the rest were women's, according to the the Associated Press.
""Any shoes are better than wet shoes,"" Ms Tritt said. ""If people feel lost, they should try volunteering and donating. It gives me such fulfilment and I want others to feel the way I do.""
The shoes were part of a shipment to Nebraska farmers organised by a local student agricultural group. 
Nebraska Governor Pete Ricketts said farmers were some of the worst affected by ""the most widespread destruction we have ever seen in our state's history"".
'Island hopping in Nebraska!'
With many roads in the region made impassable by floodwater, some volunteers took to the skies to rescue stranded residents. 
Adam Marshall, has been a private pilot for three years, and when he started to receive calls for help from people trapped in the nearby town of Fremont he fired up his small propeller plane. 
Mr Marshall told CNN that he has made more than 30 trips, and described it as ""island hopping in Nebraska"".
""My phone just started blowing up, and I told my wife, 'I think I'm going to be gone for a couple of days'.""
""I transported the entire Midland University dance team to Omaha so they wouldn't miss their commercial flight and a woman named Allie who has five kids and had been cut off from her family,"" he said.
Surrounded by rising floodwaters, Gary Fouraker was rushed to hospital after doctors suspected he had blood clots in his lungs. 
However, there was no room for his wife Marcia to travel with him in the helicopter. 
""I've never been scared like I was [at that point]"", Ms Fouraker told CNN. ""The roads weren't open.""
Mr Marshall came to her rescue, delivering Ms Fouraker to her husband's bedside an hour later. 
""I just really admire the way he, and so many other pilots, have really stepped up to help people,"" Ms Fouraker said.
""Most people had a look of relief when they got a ride,"" Mr Marshall reflected. ""I got a lot of hugs the last few days!""
'I've never escorted hay'
Derek Jilek, from North Dakota, knew he wanted to help when he saw photos of flooded farms across the Midwest. 
He posted on Facebook calling on his ""farm and ranch neighbours"" to donate a few hay bales to those who had been hit by the floods. 
Vast swathes of farmland was destroyed by the floodwater, and many farmers have struggled to feed their livestock.
What started as a small effort to collect donations, turned into a nine truck convoy carrying thousands of dollars worth of farming supplies and equipment. 
""I guess when you're helping or volunteering, I always heard that you do what you know. We know cows and we know trucking, so that's what we did,"" Mr Jilek told local news station WOWT. 
The convoy received a police escort for part of the 600 mile (965km) journey, with a new police department taking over as the trucks crossed county boundaries.
Sgt Dan Kensinger, from the Stark County Sheriff's Department, said, ""This was new to me. We've done funeral escorts and various other things. I've never escorted hay.""","As devastating flooding continues to affect the US Midwest, stories of kindness and charity have emerged.",2019-04-03T17:28:59Z,Woman buys out shoe store to help flood victims,BBC News,0
"Image copyrightAFPImage caption
 A man injured in the cyclone in Zimbabwe is carried away from a helicopter.
Cyclone Idai, which struck the coastline of Mozambique on 14 March, has caused devastation and heavy loss of life. 
The UN says 1.7 million people in Mozambique lived in the path of the cyclone, with a further 920,000 people affected in Malawi and many thousands more in Zimbabwe. 
So how common is extreme weather in southern Africa, and were these countries sufficiently prepared? 
Tropical cyclones in this part of the Indian Ocean are not that rare. 
Most form in the central Indian Ocean, sufficiently far enough off the coast for some preparations to be made. 
Cyclone Idai was unusual in that it formed in the Mozambique Channel, close to the coastline, giving governments and aid agencies less time to issue warnings and make plans.
""The cyclone was by no stretch of the imagination the most powerful... but what made it so devastating was where and how it hit,"" said Clare Nullis, spokeswoman for the World Meteorological Organization.
""The ocean floor along the coast by Mozambique is conducive to give storm surges, which reached roughly 3.5m-to-4m in the coastal city of Beira - which is absolutely huge.""
The low-lying coastal areas of central Mozambique are highly vulnerable to natural disasters but the budget for preparing and responding to them is very small. 
Last year, the government received support from international donors for a disaster fund of $18.3m (£13.9m) for 2018 and 2019.
This contingency plan is the main source of funding for any disaster response and is intended specifically for search and rescue within the first 72 hours.
For a major disaster such as Cyclone Idai, most of the funds for recovery and reconstruction are raised after a disaster has struck. 
And even without this latest emergency, Mozambique was facing economic strains as a result of a controversial loan deal in 2016 which resulted in a suspension of some international donor aid to the government.
Media captionAerial footage showing the disaster in Mozambique
How much warning?
The meteorological office of Mozambique, Inam, issued weather alerts as the storm developed.
Three days before the cyclone struck, the government raised the alert to the highest possible level, telling people to evacuate threatened areas. 
Some people were moved out by boat beforehand, but many didn't respond to warnings or weren't aware of them. 
""These public alerts were made in a timely fashion but it's always down to actors along the chain to decide how to act on this type of information,"" says Joao de Lima Rego, an adviser at Deltares, a research organisation focusing on coastal regions and river basins that has helped develop a forecasting system in Mozambique. 
As part of the forward planning for severe weather, safe zones had been created in rural areas for evacuation above the flood plain. 
On this occasion, however, the flooding was far more severe than anticipated.
Image copyrightAFPImage caption
 A local sports park provides some high ground above the flood waters in the town of Buzi
Preparations in urban areas
The port city of Beira, with a population of half a million, had introduced measures to strengthen resilience to cyclones and flooding. 
Preparedness has focused on drainage systems, says Dinis Juizo, associate professor of hydrology at the University of Eduardo Mondlane in Maputo. 
Drainage canals and flood-control protection, such as a large water basin, have also been introduced.
However, much of the population of Beira outside the city centre live in informal housing often made of materials unable to withstand severe weather.
""The level of investment has not been high enough for an event of this scale,"" says Dinis Juizo.
Image copyrightGetty ImagesImage caption
 Aid agencies have faced challenges in getting resources to flood-hit areas of Mozambique
Malawi and Zimbabwe
The storm that eventually became Cyclone Idai had caused deaths in Malawi, to the north of Mozambique, in early March.
People in lowland areas were warned, but because warnings about flooding and rainfall are an annual occurrence during the rainy season, many people were reluctant to move and didn't anticipate the extent to which the country would suffer.
In Zimbabwe, there were also warnings about the approaching storm. 
But Zimbabwe's Minister of Defence, Oppah Muchinguri, has said her government failed to anticipate its strength. 
By the time the storm reached Zimbabwe it had weakened considerably and was no longer a tropical cyclone.
Nevertheless, it had a severe impact on the eastern regions of the country.
What do you want BBC Reality Check to investigate? Get in touch
Read more from Reality Check
Follow us on Twitter",The tropical cyclone took governments by surprise and caused widespread destruction across the region.,2019-03-24T00:23:07Z,Cyclone Idai: How prepared was southern Africa?,BBC News,0
"Media captionThousands of homes destroyed as Iran braces for more floods
Flood-hit Iran is evacuating more towns and villages as forecasts show further rain is expected on Saturday.
Heavy downpours are set to strike the south western provinces of the country as officials plan to release water from key river dams that are near capacity. 
Women and children are being moved to safer areas while men are asked to stay and assist with relief efforts. 
In recent weeks, much of the country has been submerged and the death toll currently stands at 70.
Towns such as Susangerd, with a population of 50,000, will be left at risk and it will be evacuated on Saturday, along with around five other communities in the province of Khuzestan.
Image copyrightGetty ImagesImage caption
 A family tries to transport possessions through the water from their home in Khuzestan
Around 70 villages in the province have already been evacuated over the past week. 
The region is rich in oil and energy companies placed in the area have been assisting with the flood relief by using pumps to remove water. 
Extremely heavy rain began on March 19, in total affecting about 1,900 cities, towns and villages. Many thousands of roads, bridges and buildings have been destroyed. 
So far, 86,000 people are living in emergency shelters, of which about 1,000 were airlifted to safety. 
Aid agencies are struggling to cope with the demands and Iran's state budget is under pressure due to US sanctions on energy and banking. 
Foreign Minister Javad Zarif has accused US sanctions - reimposed after President Donald Trump withdrew from the Iran nuclear deal last year - of impeding aid efforts to affected areas, saying that it has caused a shortage of rescue helicopters.
""This isn't just economic warfare; it's economic terrorism,"" Mr Zarif tweeted on April 1.
The government has maintained that people, especially farmers, will be compensated for their losses. 
The head of Iran's elite Revolutionary Guards said the armed forces were ""using all their power"" to minimise damage. 
By BBC Reality Check
Environmental experts believe that deforestation has been one of the major causes of flooding in recent years in the country.
According to Iran's Natural Resources and Forestry Organization, widespread and unregulated deforestation has destroyed around half of Iran's northern forests, areas where major floods have occurred.
According to the organisation, the northern forests area has been reduced from 3.6 million to 1.8 million hectares during the past 40 years.
Media captionThere is flooding across the country","Floods have already killed at least 70 people, and heavy rain is expected on Saturday.",2019-04-06T07:57:14Z,Iran floods: Thousands evacuate homes as heavy rain forecast,BBC News,1
"Image copyrightAFP
Parts of southern Africa have been left devastated after Cyclone Idai swept through Mozambique, Malawi and Zimbabwe. Hundreds of people have been killed and hundreds of thousands more have been affected. Even though the cyclone hit Mozambique over a week ago, aid agencies are warning that the disaster is getting worse. Here are three reasons why:
1. More floods
The storm made landfall near the port city of Beira on Thursday 14 March, and the subsequent flood submerged much of the city. 
But aid agencies warn that other areas continue to be at risk of becoming submerged. 
That's because it is still raining.
Two rivers, including the Buzi, burst their banks after rain in Zimbabwe and Malawi at the weekend, sending even more torrents of water into Mozambique.
And more rivers risk bursting their banks, says Rotafina Donco, Oxfam programme manager in Mozambique.
She told BBC Newsday that this rain was affecting most of the rivers in Mozambique that flow into the Indian Ocean. 
She said she expected more casualties. 
As late as Tuesday, she received information that people in Manica province, near the Zimbabwean border, much further inland from the epicentre of the crisis, Beira, were stranded on rooftops because one of the rivers had burst and the area had become submerged. 
In Mozambique waters are expected to rise by up to eight metres, putting at least 350,000 people at risk, says the Disaster Emergencies Committee (DEC).
A similar situation is playing out in Zimbabwe. 
Herve Verhoosel, spokesperson for the UN World Food Programme said in a statement that heavy rains in Manicaland and Masvingo provinces continue to cause massive destruction. 
The Marowanyati dam in Buhera, Manicaland has overflowed, raising river levels, he added.
2. Cholera
An outbreak of cholera could lead to the death toll increasing exponentially. 
Cholera is spread through human waste in the water supply. 
The flood water itself isn't the primary risk. Instead the risk comes because the existing drinking water supplies having been damaged by the flooding. 
Image copyrightEPAImage caption
 Water supplies have been cut in Beira since the cyclone hit
This means people are finding it harder to find safe water. Larger groups of people are also sharing the same water supply, which increases the risk of cholera spreading quickly. 
""It's bound to rear its head at some point,"" says Paolo Cernuschi, Zimbabwe Country Director at the International Rescue Committee.
But that doesn't mean inevitable disaster. 
That's because cholera is relatively easy to contain when there is good healthcare available - people just need rehydration salts and to be put on an IV drip, he says. 
So, Mr Cernuschi says, there is the ""race against time"" to get the healthcare all set up before an outbreak happens.
More on Cyclone Idai: 
The worst-case scenario is that cholera breaks out in an area that is inaccessible, where there is no health care and spreads, Mr Cernuschi, said. 
Currently an area his organisation is finding it difficult to access is Zimbabwe's south-eastern town of Chimanimani - making it difficult to tell whether cholera has already begun to spread. 
Other waterborne diseases like typhoid and malaria also pose a risk, Mr Cernuschi says. 
Malaria in particular is likely to spread because the aftermath of the flood there is an increase in stagnant water - the preferred breeding ground of mosquitoes that spread malaria. 
Standing water also creates a risk of diarrheal diseases, Christian Lindmeier of the WHO told Newsday. 
Even though there is water everywhere it is not safe enough to drink.
Cyclone Idai: in numbers15,000still need to be rescued
3,000have already been rescued
300dead in Mozambique 
and Zimbabwe
217of whom are in Mozambique
177km/hwind speed during Cyclone Idai
Source: Mozambique Minister of Land and Environment, MSF
Access to safe water is vital to prevent any further disease, says Mr Lindmeier.
Relief efforts need to deliver clean water or water purification tablets.
And that's the issue. 
""Getting there is the biggest challenge,"" he says.
The floods have cut off land routes and the only way to get to people is by air or water. 
3. Starvation
While people may make it through the next few weeks with the energy biscuits and water purification tablets that are currently being airdropped, a more long-term threat of starvation still looms.
Mr Cernuschi explains that the cyclone has compounded a crisis that was already there. 
He says drought in parts of Zimbabwe had already written off an estimated 75% of crops in the areas affected by the cyclone.
""Whatever crops that were being grown despite the drought have now been destroyed in the floods,"" he says.
He warns of a food insecurity crisis in the next six to 12 months - when people will face starvation as a result of the cyclone destroying their crops. 
As for the country that is worst hit by the cyclone, Mozambique, a total of 600,000 people are believed to be in need of help, writes Andre Vornic from the World Food Programme. 
Monica Blagescu, DEC Director of Humanitarian Programmes, warns that if more is not done, a ""secondary emergency is approaching rapidly"".","Aid agencies warn that it is becoming more dangerous, not less, in southern Africa after Cyclone Idai.",2019-03-22T00:28:12Z,Cyclone Idai: What are the immediate dangers?,BBC News,1
"Image copyrightRACHAEL ANDERSONImage caption
 Queensland's northern cattle region was devastated by floods in February
Like many other Australian graziers, Matt Bennetto could only start to count the dead after the rain had stopped.
Flying in a helicopter over his sodden cattle station, he was confronted by the ""nightmare"" of mass cattle losses.
Animals were strewn across pastures which had turned into water and mud.
""We probably flew over 10,000 carcasses that day, just going over my place and the neighbours',"" he told the BBC.
His cattle at Julia Creek were among an estimated 500,000 livestock wiped out when a flood disaster hit northern Queensland earlier this month.
Image copyrightCOWAN DOWNS STATION/REUTERSImage caption
 Animals seek higher ground to escape the waters
""To see them all dead along the fence lines and in the corners - can you imagine that scene?"" he said.
""You spend your whole life trying to breed beautiful animals and then you see something like that. It's beyond heartbreaking.""
Massive rainfall
Queensland's cattle industry, worth A$8.6bn (£4.7bn; $6bn), is reeling after the losses in the state's north.
Rain pummelled 13 million hectares of dedicated farming land - an area about the size of England - killing a third of cattle there. The bulk of flooding stretched, in rough terms, between towns Normanton and Winton.
Some areas received three times their average annual rainfall in a week. 
At first the deluge was welcomed by farmers, who had sustained their cattle through years of drought. 
But as waters rose, the situation quickly turned and led to animals drowning. Many more died from exposure to the elements.
""These cattle are bred in hot, dry conditions,"" Mr Bennetto said. ""Right before the rain they had gone through a week of over 40-degree [Celsius] temperatures.
""For an animal who can live in such extreme heat, they're not good at surviving in that cold rain.""
Logistical challenges
The Queensland floods have come in an Australian summer that has been marked by natural disasters.
A number of other mass wildlife deaths have been recorded amid record-breaking heatwaves, and bushfires have destroyed homes in three states.
In the coastal Queensland city of Townsville, floodwaters led to two deaths.
Media captionThe coastal city of Townsville, east of the cattle regions, was also flooded
Further west, in the region of the mass cattle deaths, the floodwaters have receded but a crisis remains.
""Producers are attempting to save as many cattle as possible, getting them out of mud and water, and providing them with fodder and medical attention,"" said Michael Guerin, head of AgForce, the industry's peak body in Queensland.
The army has helped bury carcasses and fly hay bales to surviving animals.
Image copyrightRURAL AIDImage caption
 The army has assisted the recovery effort
Charles Adler from Rural Aid, a charity which organised drop-offs, described it as a logistical challenge.
""Some of these stations are 150km long, so finding alive cattle was a very difficult exercise. And then they're scattered everywhere in small mobs, so we're ferrying bales by chopper one at a time,"" he said.
He said animals stuck in mud were starving, while others were dying from shock, pneumonia and Three Day Sickness - a bovine fever spread by mosquitoes. 
Another grazier, Rachael Anderson, has lost at least 2,000 animals - about half of her herd - at her station in Julia Creek. She said the numbers were continuing to rise.
""We had lots of mothers birth just after the rain, but then die from exhaustion. So I'm hand-rearing 12 calves but there will be more,"" she said.
""Lots of people are in the same boat. We are just saving whatever lives we can.""
'Rebuilding from scratch'
The estimated half a million deaths represent only a portion of Australia's total cattle industry, which numbers about 27 million. 
But for northern Queensland, the toll is immense.
Image copyrightAGFORCEImage caption
 An area the size of England was flooded, authorities say
Authorities have put the combined financial loss for about 800 graziers at more than A$5bn. Some farms will not have cash flow for up to three years, AgForce warns.
The region's industry now has to ""rebuild itself almost from scratch"", according to Mr Guerin. He said restocking may take years, while replacing prized ""bloodlines"" could take decades.
Some graziers find it almost too hard to contemplate. As Mr Adler said: ""They've struggled for seven years to keep their animals alive in the drought, and now they're left with the futility of all that.""
Mr Bennetto, who lost more than 70% of his livestock, said he had chosen to suspend operations at his station for now.
""We're just not in a position to come back right now,"" he said. ""Maybe in a couple of months, we can get back on our feet and keep going. But I've already started a new job this week just so we can afford to pay our bills.""
Image copyrightRACHAEL ANDERSONImage caption
 Rebuilding will be a very long process, graziers say
The government has offered up to A$75,000 in aid for each grazier.
But Ms Anderson said recovery would be ""very, very hard"", and in her case take at least 10 years.
""But we are young and resilient,"" she said. ""We will rebuild. We have to. We have no choice.""","An estimated 500,000 animals have died in a flood disaster in Queensland, crippling local graziers.",2019-02-24T00:23:51Z,Australian farmers' long road after mass cattle deaths,BBC News,0
,"Residents in Townsville, Australia, brace for the arrival of water as dam gates are opened.",2019-02-03T11:59:20Z,Queensland dam gates opened after flood,BBC News,0
"Image copyrightEPAImage caption
 The town of Sentani was one of the worst affected areas
At least 58 people have been killed in flash floods in the eastern Indonesian province of Papua.
Rescue workers are struggling to reach remote parts of the province, and there are fears the number of dead may rise.
Roads have been blocked by landslides and fallen trees, and floodwaters have damaged two bridges and more than 100 houses.
More than 4,000 people have been forced from their homes, and some are sheltering in government offices.
Local residents said torrential rain began on Saturday evening and continued into the night, triggering mudslides and flash floods.
Image copyrightAFPImage caption
 Soldiers pulled a five-month-old baby from the rubble
""Our house was flooded with thick mud... we immediately grabbed our valuables and ran to a neighbour's [two-storey] house to seek refuge,"" said mother-of-two Lili Puji Hastuti, quoted by Agence France-Presse.
""It's hard to get out of the area because many roads are blocked... I'm worried, sad and scared all at once.""
The search for victims continues in the town of Sentani, one of the worst affected areas. 
Fifty-one people were killed in the town, national disaster agency spokesman Sutopo Purwo Nugroho said, quoted by Reuters news agency.
The other seven confirmed deaths were in the nearby provincial capital Jayapura, Mr Nugroho added.
However, a five-month-old baby was rescued in the city after being trapped under the rubble for hours, according to the military.
Meanwhile a propeller aircraft was partly crushed on the runway of Jayapura airport.
Flooding is common in Indonesia, especially during the October-April rainy season.
In January, floods killed at least 70 people on the island of Sulawesi, and heavy rain in West Java earlier in March displaced hundreds.
Emergency officials say that in recent months they had warned the Papuan authorities of flood risks due to deforestation of mountains surrounding Jayapura.
Papua province borders the independent state of Papua New Guinea, to the east.","Rescue workers struggle to reach remote parts of Papua province, amid fears the death toll could rise.",2019-03-17T12:43:35Z,Indonesia floods: Dozens dead in Papua province,BBC News,0
"Image copyright EPA Image caption Pushing his trolley, Michael Rogers (left) helped police tackle the attacker A funding campaign has raised almost A$100,000 (£55,000; $72,000) to help a homeless man who tried to stop a knife-wielding attacker in Melbourne by ramming him with a shopping trolley. Michael Rogers, dubbed ""Trolley Man"" online, was filmed on Friday trying to prevent Hassan Khalif Shire Ali from stabbing two police officers. The suspect had already killed a cafe owner and injured two other people. He was later shot by police and died in hospital. When tracked down by reporters, Mr Rogers, 46, told 7 News: ""I threw the trolley straight at him, and I got him. I didn't quite get him down, though."" At the time he was only metres from a burning car full of gas cylinders, which the attacker had set alight near Bourke Street, a busy road in the city centre. Media caption The attacker set a car on fire and stabbed three people Footage of Mr Rogers' efforts spread rapidly online, where he was hailed as a hero. A GoFundMe fundraising page was set up by Donna Stolzenberg, founder of the charity Melbourne Homeless Collective, to help get him back on his feet. ""As a person he just deserves it,"" she told Reuters. At time of writing, 3,388 people had donated money, and the page had been shared 11,000 times on Facebook. Image copyright WILLIAM WEST Image caption The attacker had already set a car ablaze and killed an elderly man when Mr Rogers tried to stop him A message from its creator read: ""UPDATE: We've found him! What an absolutely incredible human. We had a long chat on the phone today and we're even more proud of him. Our hero is humble as can be and had no idea about this fundraiser. We'll be catching up tomorrow to hand over his donations. He is amazing."" Ms Stolzenberg's charity will now help Mr Rogers find housing, as well as psychological support to process what he witnessed. Victoria Police Chief Commissioner Graham Ashton said the Friday attack is being treated as a terrorist incident.",Thousands donate to help a homeless man who tackled a Melbourne knife attacker using a trolley.,2018-11-11T16:17:42Z,Trolley man: Funds flood in for Melbourne's homeless hero,BBC News,0
